brand,screenSize,energyConsumption,star,screenTech
aiwa,24.0,105.0,4.0,LED
aiwa,24.0,82.0,5.0,LED
aiwa,24.0,91.0,4.5,LCD
aiwa,31.0,145.0,4.5,LED
aiwa,31.0,104.0,6.0,LED
aiwa,32.0,125.0,5.0,LED
aiwa,32.0,116.0,5.5,LED
aiwa,39.0,148.0,6.0,LED
aiwa,39.0,189.0,5.0,LCD
aiwa,40.0,198.0,4.5,LED
aiwa,42.0,210.0,4.5,LED
aiwa,49.0,265.0,5.0,LED
aiwa,50.0,211.0,6.0,LED
aiwa,50.0,276.0,5.0,OLED
aiwa,55.0,320.0,5.0,LCD
aiwa,64.0,404.0,5.5,LCD
aiwa,64.0,499.0,4.5,LED
aiwa,65.0,468.0,4.5,LED
aiwa,70.0,576.0,4.5,LED
akai,24.0,68.0,6.0,LED
akai,24.0,68.0,6.0,LED
akai,24.0,68.0,6.0,LED
akai,24.0,60.0,6.0,LED
akai,24.0,60.0,6.0,LED
akai,24.0,60.0,6.0,LED
akai,31.0,104.0,6.0,LCD
akai,32.0,101.0,6.0,LED
akai,32.0,90.0,6.0,LCD
akai,32.0,98.0,6.0,LED
akai,39.0,150.0,6.0,LCD
akai,39.0,149.0,6.0,LCD
akai,39.0,131.0,6.0,LCD
akai,43.0,172.0,6.0,LCD
akai,49.0,225.0,6.0,LCD
akai,50.0,204.0,6.0,LCD
akai,50.0,202.0,6.0,LED
akai,55.0,272.0,6.0,LCD
akai,55.0,251.0,6.0,LED
akai,55.0,267.0,6.0,LED
akai,55.0,256.0,6.0,LED
akai,58.0,301.0,6.0,LED
akai,65.0,370.0,6.0,LCD
akai,65.0,368.0,6.0,LCD
akai,65.0,362.0,6.0,LED
akai,65.0,367.0,6.0,LED
akai,70.0,372.0,6.0,LCD
akai,74.0,480.0,6.0,LCD
akai,75.0,404.0,6.0,LED
akai,75.0,474.0,6.0,LED
akai,85.0,600.0,6.0,LCD
altius,24.0,66.0,6.0,LCD
altius,32.0,102.0,6.0,LED
altius,32.0,90.0,6.0,LCD
aoa,19.0,58.0,5.0,LED
aoa,32.0,119.0,5.0,LCD
aoa,40.0,176.0,5.0,LCD
aoa,50.0,270.0,5.0,LED
avel innovations,24.0,90.0,4.5,LED
avel innovations,24.0,91.0,4.5,LED
avel innovations,32.0,145.0,4.5,LED
bauhn,24.0,66.0,6.0,LCD
bauhn,24.0,61.0,6.0,LED
bauhn,24.0,68.0,6.0,LCD
bauhn,24.0,67.0,6.0,LED
bauhn,24.0,67.0,6.0,LED
bauhn,31.0,104.0,6.0,LED
bauhn,31.0,104.0,6.0,LED
bauhn,31.0,104.0,6.0,LED
bauhn,31.0,104.0,6.0,LCD
bauhn,32.0,101.0,6.0,LCD
bauhn,32.0,101.0,6.0,LED
bauhn,32.0,101.0,6.0,LED
bauhn,32.0,101.0,6.0,LED
bauhn,32.0,101.0,6.0,LED
bauhn,32.0,99.0,6.0,LED
bauhn,32.0,105.0,6.0,LED
bauhn,39.0,151.0,6.0,LCD
bauhn,39.0,151.0,6.0,LCD
bauhn,39.0,151.0,6.0,LCD
bauhn,39.0,149.0,6.0,LED
bauhn,39.0,149.0,6.0,LED
bauhn,39.0,148.0,6.0,LED
bauhn,39.0,148.0,6.0,LED
bauhn,39.0,148.0,6.0,LED
bauhn,40.0,189.0,5.0,LED
bauhn,40.0,189.0,5.0,LED
bauhn,40.0,189.0,5.0,LED
bauhn,41.0,157.0,6.0,LCD
bauhn,43.0,172.0,6.0,LCD
bauhn,43.0,172.0,6.0,LCD
bauhn,43.0,172.0,6.0,LCD
bauhn,43.0,170.0,6.0,LED
bauhn,43.0,170.0,6.0,LED
bauhn,49.0,220.0,6.0,LCD
bauhn,49.0,225.0,6.0,LCD
bauhn,49.0,225.0,6.0,LCD
bauhn,49.0,220.0,6.0,LED
bauhn,50.0,220.0,6.0,LCD
bauhn,50.0,225.0,6.0,LED
bauhn,50.0,210.0,6.0,LED
bauhn,55.0,305.0,5.5,LCD
bauhn,55.0,272.0,6.0,LED
bauhn,55.0,272.0,6.0,LCD
bauhn,55.0,267.0,6.0,LED
bauhn,55.0,256.0,6.0,LED
bauhn,55.0,256.0,6.0,LED
bauhn,55.0,256.0,6.0,LED
bauhn,57.0,298.0,6.0,LCD
bauhn,57.0,298.0,6.0,LCD
bauhn,57.0,275.0,6.0,LCD
bauhn,58.0,301.0,6.0,LED
bauhn,58.0,298.0,6.0,LCD
bauhn,60.0,296.0,6.0,LCD
bauhn,60.0,296.0,6.0,LCD
bauhn,60.0,299.0,6.0,LCD
bauhn,60.0,320.0,6.0,LCD
bauhn,65.0,360.0,6.0,LED
bauhn,65.0,360.0,6.0,LED
bauhn,65.0,360.0,6.0,LED
bauhn,65.0,371.0,6.0,LCD
bauhn,65.0,345.0,6.0,LCD
bauhn,65.0,367.0,6.0,LED
bauhn,65.0,360.0,6.0,LCD
bauhn,65.0,371.0,6.0,LCD
bauhn,70.0,420.0,6.0,LCD
bauhn,70.0,397.0,6.0,LCD
bauhn,70.0,405.0,6.0,LCD
bauhn,70.0,420.0,6.0,LCD
bauhn,70.0,400.0,6.0,LED
bauhn,70.0,400.0,6.0,LED
bauhn,70.0,405.0,6.0,LCD
bauhn,70.0,395.0,6.0,LCD
bauhn,70.0,395.0,6.0,LCD
bauhn,70.0,395.0,6.0,LCD
bauhn,70.0,395.0,6.0,LCD
bauhn,74.0,480.0,6.0,LCD
bauhn,75.0,393.0,6.0,LED
bauhn,75.0,469.0,6.0,LED
bauhn,75.0,490.0,6.0,LCD
bauhn,75.0,474.0,6.0,LED
bauhn,82.0,651.0,5.5,LED
bauhn,85.0,600.0,6.0,LCD
bauhn,85.0,600.0,6.0,LCD
blaupunkt,24.0,84.0,5.0,LCD
blaupunkt,24.0,78.0,5.0,LCD
blaupunkt,24.0,105.0,4.0,LED
blaupunkt,24.0,93.0,4.5,LED
blaupunkt,24.0,76.0,5.5,LED
blaupunkt,24.0,76.0,5.5,LED
blaupunkt,24.0,76.0,5.5,LED
blaupunkt,24.0,76.0,5.5,LED
blaupunkt,24.0,76.0,5.5,LED
blaupunkt,24.0,94.0,4.5,LCD
blaupunkt,24.0,107.0,4.0,LCD
blaupunkt,31.0,130.0,5.0,LCD
